[T:112259] NODO2 | ACC: 0.0049 0.0000 0.9916 | GYR: 0.3435 1.0763 -0.0992 | TEMP: 50.60
[T:118753] NODO3 | BPM: 94.97 | V: 3.93 | BAT: 77.09
[T:123788] NODO3 | BPM: 95.00 | V: 3.93 | BAT: 77.09
[T:125232] LOCAL | ACC: 0.0033 0.0051 -0.0602 | GYR: 0.1143 1.9036 -0.0819
[T:128822] NODO3 | BPM: 94.99 | V: 3.93 | BAT: 77.09
[T:133860] NODO3 | BPM: 95.18 | V: 3.92 | BAT: 76.92
[T:138893] NODO3 | BPM: 95.25 | V: 3.92 | BAT: 76.92
[T:145265] LOCAL | ACC: 0.0031 0.0051 -0.0600 | GYR: 0.1315 1.9627 -0.0829
[T:148462] NODO2 | ACC: 0.0037 -0.0038 1.0204 | GYR: -0.5802 -2.2748 -0.4275 | TEMP: 50.69
[T:165300] LOCAL | ACC: 0.0033 0.0051 -0.0601 | GYR: 0.1038 1.8750 -0.1362
[T:174809] NODO3 | BPM: 89.35 | V: 3.92 | BAT: 76.81
[T:179842] NODO3 | BPM: 83.63 | V: 3.92 | BAT: 76.81
[T:184875] NODO3 | BPM: 83.74 | V: 3.92 | BAT: 76.81
[T:185332] LOCAL | ACC: 0.0036 0.0051 -0.0602 | GYR: 0.0743 1.8512 -0.1077
[T:189912] NODO3 | BPM: 86.00 | V: 3.92 | BAT: 76.81
[T:199376] NODO2 | ACC: -0.0151 -0.0029 1.0098 | GYR: -0.3664 -4.6183 -0.9466 | TEMP: 50.60
[T:205366] LOCAL | ACC: 0.0035 0.0050 -0.0601 | GYR: 0.0877 1.8826 -0.0686
[T:217477] NODO2 | ACC: -0.0164 -0.0046 1.0110 | GYR: -0.0916 -2.2519 0.0382 | TEMP: 50.60
[T:225399] LOCAL | ACC: 0.0033 0.0051 -0.0599 | GYR: 0.1019 1.9026 -0.1343
[T:230938] NODO3 | BPM: 87.03 | V: 3.92 | BAT: 76.85
[T:235975] NODO3 | BPM: 88.61 | V: 3.92 | BAT: 76.85
[T:241008] NODO3 | BPM: 90.23 | V: 3.92 | BAT: 76.85
[T:245431] LOCAL | ACC: 0.0035 0.0051 -0.0601 | GYR: 0.0991 1.8674 -0.1115
[T:246041] NODO3 | BPM: 91.17 | V: 3.92 | BAT: 76.85
[T:251074] NODO3 | BPM: 92.25 | V: 3.92 | BAT: 76.68
