[2026-04-07 22:27:50] LOCAL | ACC: 0.0035 0.0049 -0.0601 | GYR: 0.3268 1.7692 -0.0753
[2026-04-07 22:28:10] LOCAL | ACC: 0.0036 0.0052 -0.0602 | GYR: 0.3678 1.7416 -0.0610
[2026-04-07 22:28:30] LOCAL | ACC: 0.0034 0.0049 -0.0603 | GYR: 0.3535 1.7778 -0.1058
[2026-04-07 22:28:50] LOCAL | ACC: 0.0032 0.0049 -0.0601 | GYR: 0.3354 1.7111 -0.0696
[2026-04-07 22:29:10] LOCAL | ACC: 0.0030 0.0050 -0.0602 | GYR: 0.3830 1.7502 -0.0591
[2026-04-07 22:29:30] LOCAL | ACC: 0.0031 0.0049 -0.0613 | GYR: 0.3830 1.7797 -0.0819
[2026-04-07 22:29:50] LOCAL | ACC: 0.0034 0.0049 -0.0602 | GYR: 0.3458 1.7550 -0.0962
[2026-04-07 22:30:10] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.3611 1.7616 -0.0838
[2026-04-07 22:30:30] LOCAL | ACC: 0.0032 0.0052 -0.0600 | GYR: 0.3601 1.7712 -0.0962
[2026-04-07 22:30:50] LOCAL | ACC: 0.0033 0.0051 -0.0603 | GYR: 0.3382 1.7721 -0.0572
[2026-04-07 22:31:10] LOCAL | ACC: 0.0034 0.0049 -0.0604 | GYR: 0.3525 1.7607 -0.0886
[2026-04-07 22:31:30] LOCAL | ACC: 0.0035 0.0050 -0.0601 | GYR: 0.3268 1.7712 -0.0610
[2026-04-07 22:31:50] LOCAL | ACC: 0.0034 0.0050 -0.0601 | GYR: 0.3801 1.7121 -0.0829
[2026-04-07 22:32:10] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3687 1.7245 -0.0791
[2026-04-07 22:32:30] LOCAL | ACC: 0.0034 0.0050 -0.0603 | GYR: 0.3077 1.7388 -0.0629
[2026-04-07 22:32:50] LOCAL | ACC: 0.0034 0.0054 -0.0602 | GYR: 0.3373 1.7835 -0.0838
[2026-04-07 22:33:10] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3763 1.8083 -0.1000
[2026-04-07 22:33:30] LOCAL | ACC: 0.0032 0.0050 -0.0605 | GYR: 0.3363 1.7721 -0.0381
[2026-04-07 22:33:50] LOCAL | ACC: 0.0034 0.0049 -0.0601 | GYR: 0.3582 1.7330 -0.0648
[2026-04-07 22:34:10] LOCAL | ACC: 0.0033 0.0050 -0.0601 | GYR: 0.3535 1.7445 -0.0648
[2026-04-07 22:34:30] LOCAL | ACC: 0.0034 0.0049 -0.0600 | GYR: 0.3354 1.7340 -0.0534
[2026-04-07 22:34:50] LOCAL | ACC: 0.0036 0.0050 -0.0603 | GYR: 0.3544 1.7854 -0.0333
[2026-04-07 22:35:10] LOCAL | ACC: 0.0033 0.0050 -0.0603 | GYR: 0.3382 1.7769 -0.1067
[2026-04-07 22:35:30] LOCAL | ACC: 0.0032 0.0050 -0.0601 | GYR: 0.3897 1.7969 -0.1267
[2026-04-07 22:35:50] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.3639 1.7530 -0.0877
[2026-04-07 22:36:10] LOCAL | ACC: 0.0031 0.0050 -0.0601 | GYR: 0.3335 1.7416 -0.0962
[2026-04-07 22:36:30] LOCAL | ACC: 0.0033 0.0049 -0.0600 | GYR: 0.3592 1.7569 -0.0724
[2026-04-07 22:36:50] LOCAL | ACC: 0.0033 0.0049 -0.0603 | GYR: 0.3773 1.7750 -0.1058
[2026-04-07 22:37:11] LOCAL | ACC: 0.0031 0.0050 -0.0601 | GYR: 0.3363 1.7969 -0.0838
[2026-04-07 22:37:31] LOCAL | ACC: 0.0034 0.0050 -0.0603 | GYR: 0.3554 1.7635 -0.1162
[2026-04-07 22:37:51] LOCAL | ACC: 0.0033 0.0050 -0.0602 | GYR: 0.3954 1.7588 -0.0486
[2026-04-07 22:38:11] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.3554 1.7702 -0.0724
[2026-04-07 22:38:31] LOCAL | ACC: 0.0032 0.0050 -0.0602 | GYR: 0.3420 1.7168 -0.0829
[2026-04-07 22:38:51] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.3478 1.7807 -0.0934
[2026-04-07 22:39:11] LOCAL | ACC: 0.0035 0.0049 -0.0608 | GYR: 0.2630 1.7216 -0.0410
[2026-04-07 22:39:31] LOCAL | ACC: 0.0032 0.0051 -0.0603 | GYR: 0.3306 1.7683 -0.0581
[2026-04-07 22:39:51] LOCAL | ACC: 0.0031 0.0054 -0.0602 | GYR: 0.2639 1.7416 -0.1153
[2026-04-07 22:40:11] LOCAL | ACC: 0.0031 0.0050 -0.0603 | GYR: 0.2934 1.7654 -0.1248
[2026-04-07 22:40:31] LOCAL | ACC: 0.0029 0.0050 -0.0601 | GYR: 0.3449 1.6835 -0.0791
[2026-04-07 22:40:51] LOCAL | ACC: 0.0032 0.0050 -0.0602 | GYR: 0.3373 1.7197 -0.1286
[2026-04-07 22:41:11] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.1162 1.8931 -0.1019
[2026-04-07 22:41:31] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.0867 1.8626 -0.1124
[2026-04-07 22:41:51] LOCAL | ACC: 0.0036 0.0050 -0.0605 | GYR: 0.1105 1.9312 -0.0619
[2026-04-07 22:42:11] LOCAL | ACC: 0.0034 0.0050 -0.0600 | GYR: 0.1134 1.8769 -0.0896
[2026-04-07 22:42:31] LOCAL | ACC: 0.0033 0.0049 -0.0602 | GYR: 0.1029 1.9160 -0.0715
[2026-04-07 22:42:51] LOCAL | ACC: 0.0037 0.0050 -0.0601 | GYR: 0.1019 1.8559 -0.0848
[2026-04-07 22:43:11] LOCAL | ACC: 0.0033 0.0050 -0.0600 | GYR: 0.1115 1.8979 -0.0867
[2026-04-07 22:06:06] LOCAL | ACC: 0.0036 0.0051 -0.0605 | GYR: 0.1562 1.8921 -0.0686
[2026-04-07 22:06:27] LOCAL | ACC: 0.0034 0.0052 -0.0605 | GYR: 0.1162 1.8712 -0.0572
[2026-04-07 22:06:47] LOCAL | ACC: 0.0035 0.0052 -0.0600 | GYR: 0.1315 1.8826 -0.0991
[2026-04-07 22:06:07] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1258 1.8845 -0.1029
[2026-04-07 22:06:27] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1420 1.7959 -0.0600
[2026-04-07 22:06:47] LOCAL | ACC: 0.0033 0.0053 -0.0599 | GYR: 0.1629 1.8331 -0.0781
[2026-04-07 22:07:07] LOCAL | ACC: 0.0034 0.0052 -0.0601 | GYR: 0.1925 1.8683 -0.1010
[2026-04-07 22:07:27] LOCAL | ACC: 0.0034 0.0052 -0.0600 | GYR: 0.1391 1.8502 -0.0781
[2026-04-07 22:07:47] LOCAL | ACC: 0.0034 0.0052 -0.0602 | GYR: 0.1391 1.8388 -0.0857
[2026-04-07 22:08:07] LOCAL | ACC: 0.0035 0.0052 -0.0599 | GYR: 0.1915 1.8026 -0.0448
[2026-04-07 22:08:28] LOCAL | ACC: 0.0034 0.0051 -0.0601 | GYR: 0.1648 1.8445 -0.1134
[2026-04-07 22:08:48] LOCAL | ACC: 0.0034 0.0051 -0.0603 | GYR: 0.1639 1.8836 -0.1143
[2026-04-07 22:09:08] LOCAL | ACC: 0.0037 0.0051 -0.0605 | GYR: 0.1439 1.7797 -0.0553
[2026-04-07 22:09:28] LOCAL | ACC: 0.0036 0.0051 -0.0602 | GYR: 0.1096 1.8874 -0.0753
[2026-04-07 22:09:48] LOCAL | ACC: 0.0032 0.0051 -0.0603 | GYR: 0.1534 1.8950 -0.0591
[2026-04-07 22:10:08] LOCAL | ACC: 0.0036 0.0050 -0.0606 | GYR: 0.1686 1.8807 -0.1143
[2026-04-07 22:10:28] LOCAL | ACC: 0.0036 0.0051 -0.0601 | GYR: 0.1648 1.8740 -0.0800
[2026-04-07 22:10:48] LOCAL | ACC: 0.0035 0.0051 -0.0603 | GYR: 0.1562 1.9207 -0.0753
[2026-04-07 22:11:08] LOCAL | ACC: 0.0036 0.0050 -0.0603 | GYR: 0.1362 1.9179 -0.0667
[2026-04-07 22:11:28] LOCAL | ACC: 0.0035 0.0051 -0.0602 | GYR: 0.1925 1.9169 -0.0934
[2026-04-07 22:11:48] LOCAL | ACC: 0.0034 0.0051 -0.0602 | GYR: 0.1696 1.8121 -0.0829
[2026-04-07 22:12:08] LOCAL | ACC: 0.0034 0.0050 -0.0602 | GYR: 0.1867 1.8579 -0.1220
[2026-04-07 22:12:28] LOCAL | ACC: 0.0037 0.0050 -0.0601 | GYR: 0.1658 1.8502 -0.0648
[2026-04-07 22:06:06] LOCAL | ACC: 0.0034 0.0052 -0.0603 | GYR: 0.0800 1.8826 -0.1229
[2026-04-07 22:06:07] NODO2 | ACC: -0.0088 0.0071 1.0042 | GYR: 0.0763 0.2748 0.0687 | TEMP: 50.69
[2026-04-07 22:06:12] NODO3 | BPM: 86.96 | V: 3.93 | BAT: 77.14
[2026-04-07 22:06:17] NODO3 | BPM: 86.85 | V: 3.93 | BAT: 77.14
